G-Force ;-110.71343471012257;-4.695679949752317
Wrath of the Titans ;-91.62955233139026;-4.665240413710632
Dark Shadows ;-82.53063628468826;-4.709493321269334
Mission: Impossible - Rogue Nation ;-85.47208150956777;-3.3324276023322508
The Wolfman ;-87.52982864366645;-5.063129940781569
The Legend of Tarzan ;-84.81400078505182;-4.914600385673101
Bee Movie ;-93.53463817552509;-4.549503508930203
Kung Fu Panda 2 ;-94.90440348310489;-4.636021939399549
The Last Airbender ;-93.28016030461427;-4.489974554206508
Mission: Impossible III ;-80.1577144082696;-4.738833207602012
White House Down ;-82.98965654804005;-4.869603177568667
Mars Needs Moms ;-94.62788242657534;-4.665479524399761
Flushed Away ;-91.54532471039093;-3.249249002635702
Pan ;-85.09854215195905;-4.429428139861298
Mr. Peabody & Sherman ;-91.87211834823908;-4.595933125368706
Troy ;-80.43239570776221;-4.757992838111394
Madagascar 3: Europe's Most Wanted ;-88.83316398555775;-4.550834397381845
Die Another Day ;-89.53867410148295;-3.4225719378518447
Ghostbusters ;-89.73966647566981;-4.775636329683728
Armageddon ;-82.15866728397238;-4.78955944290766
Men in Black II ;-96.07890662038523;-4.935617852045001
Beowulf ;-83.37494326894362;-4.697971510922298
Kung Fu Panda 3 ;-87.22665813685465;-4.640436174627868
Mission: Impossible - Ghost Protocol ;-82.12465652084718;-4.731905627699674
Rise of the Guardians ;-90.64497892211222;-4.460806430393137
Fun with Dick and Jane ;-82.71216089883535;-4.68604724037072
The Last Samurai ;-84.39721305729533;-4.985997081346725
Exodus: Gods and Kings ;-85.99119782874533;-3.520608663428098
Star Trek ;-84.17931796147712;-4.657780450226909
Spider-Man ;-81.71626977720817;-4.762874866354281
How to Train Your Dragon 2 ;-90.90362623487317;-4.658331226906286
Gods of Egypt ;-92.7601377829748;-4.658785319902281
Stealth ;-84.66824456709271;-4.754722086222793
Watchmen ;-86.96927096885163;-5.034076088016879
Lethal Weapon 4 ;-82.05122364848432;-4.942123932803787
Hulk ;-85.59517119805237;-4.5987326602670935
G.I. Joe: Retaliation ;-82.73255782724135;-4.771534364031266
Sahara ;-81.62312085878243;-3.555164126784667
Final Fantasy: The Spirits Within ;-90.707927622918;-4.821356534906703
Captain America: The First Avenger ;-87.23226041360624;-4.676397628943304
The World Is Not Enough ;-83.21625358754734;-3.42734921957677
Master and Commander: The Far Side of the World ;-100.31628740077839;-4.85105565805301
The Twilight Saga: Breaking Dawn - Part 2 ;-78.84630606151197;-4.863580715139864
Happy Feet 2 ;-91.92549004295316;-3.0976226784806564
The Incredible Hulk ;-88.43997260025027;-4.676730654888244
Miami Vice             ;-85.85712432240227;-4.6494912848360235
The BFG ;-89.41888212368112;-3.1307235651211016
The Revenant ;-87.0141810764766;-5.04034452258342
Turbo ;-97.51058213220858;-4.564301878791316
Rango ;-91.82874833887007;-4.565878611477571
Penguins of Madagascar ;-93.62962646346085;-4.560138572529515
The Bourne Ultimatum ;-80.35180371431295;-4.687230787048763
Kung Fu Panda ;-95.1694866837004;-4.6225429758275185
Ant-Man ;-88.65788231977952;-4.8088280161903905
The Hunger Games: Catching Fire ;-82.08521705016733;-4.686767546393707
The Twilight Saga: Breaking Dawn - Part 2 ;-78.84630606151197;-4.863580715139864
Home ;-96.84186338923475;-4.645818776736793
War of the Worlds ;-77.49347521880726;-4.707653701910659
Bad Boys II ;-77.66133057089196;-5.0858014966266945
Puss in Boots ;-92.31778289835158;-4.692685399387388
Salt ;-84.74968027559977;-4.773038170652642
Noah ;-85.26021512836809;-4.8200613023688135
The Adventures of Tintin ;-86.51316741706007;-4.512898186882759
Harry Potter and the Prisoner of Azkaban ;-88.79542469703813;-3.1506081985529217
Australia ;-99.08185514659998;-3.4499532974290688
After Earth ;-84.75395173999587;-4.6534499093229105
Dinosaur ;-96.74254900345798;-4.51491287066078
